"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","PrgP"
"Serie A","2023-08-19","Serie A (Matchweek 1)","Empoli","4-2-3-1",0,0.7,"","2","0","Hellas Verona","3-4-3",1,0.5,"Federico Bonazzoli · 75&rsquor;","2","0","https://fbref.com/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A","Empoli","Home",NA,990,234,367,63.8,4446,1722,93,120,77.5,110,142,77.5,27,80,33.8,0,0.4,0.2,5,8,3,0,15
"Serie A","2023-08-19","Serie A (Matchweek 1)","Empoli","4-2-3-1",0,0.7,"","2","0","Hellas Verona","3-4-3",1,0.5,"Federico Bonazzoli · 75&rsquor;","2","0","https://fbref.com/en/matches/b787871d/Empoli-Hellas-Verona-August-19-2023-Serie-A","Hellas Verona","Away",NA,990,272,396,68.7,5858,2469,100,133,75.2,107,137,78.1,62,105,59,0,0.4,0.7,8,15,4,2,21
"Serie A","2023-08-19","Serie A (Matchweek 1)","Frosinone","4-3-3",1,0.9,"Abdou Harroui (P) · 7&rsquor;","3","0","Napoli","4-3-3",3,1.5,"Matteo Politano · 24&rsquor; Victor Osimhen · 42&rsquor; Victor Osimhen · 79&rsquor;","3","0","https://fbref.com/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A","Frosinone","Home",NA,990,413,476,86.8,6059,2393,242,252,96,126,141,89.4,28,52,53.8,0,0.1,0.2,2,17,5,1,30
"Serie A","2023-08-19","Serie A (Matchweek 1)","Frosinone","4-3-3",1,0.9,"Abdou Harroui (P) · 7&rsquor;","3","0","Napoli","4-3-3",3,1.5,"Matteo Politano · 24&rsquor; Victor Osimhen · 42&rsquor; Victor Osimhen · 79&rsquor;","3","0","https://fbref.com/en/matches/305afcf5/Frosinone-Napoli-August-19-2023-Serie-A","Napoli","Away",NA,990,436,506,86.2,7511,2556,205,213,96.2,180,201,89.6,40,64,62.5,2,1.2,0.9,16,34,9,0,46
"Serie A","2023-08-19","Serie A (Matchweek 1)","Genoa","3-5-2",1,0.2,"Davide Biraschi · 58&rsquor;","2","0","Fiorentina","4-2-3-1",4,1,"Cristiano Biraghi · 5&rsquor; Giacomo Bonaventura · 11&rsquor; Nicolás González · 40&rsquor; Rolando Mandragora · 56&rsquor;","3","0","https://fbref.com/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A","Genoa","Home",NA,990,242,332,72.9,4770,1967,85,105,81,113,137,82.5,38,65,58.5,1,0.2,0.6,4,17,6,2,27
"Serie A","2023-08-19","Serie A (Matchweek 1)","Genoa","3-5-2",1,0.2,"Davide Biraschi · 58&rsquor;","2","0","Fiorentina","4-2-3-1",4,1,"Cristiano Biraghi · 5&rsquor; Giacomo Bonaventura · 11&rsquor; Nicolás González · 40&rsquor; Rolando Mandragora · 56&rsquor;","3","0","https://fbref.com/en/matches/8260e428/Genoa-Fiorentina-August-19-2023-Serie-A","Fiorentina","Away",NA,990,599,694,86.3,11368,3496,246,261,94.3,253,281,90,90,118,76.3,3,0.4,0.8,6,37,5,0,44
"Serie A","2023-08-19","Serie A (Matchweek 1)","Internazionale","3-5-2",2,2.7,"Lautaro Martínez · 8&rsquor; Lautaro Martínez · 76&rsquor;","1","0","Monza","3-5-2",0,0.8,"","1","0","https://fbref.com/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A","Internazionale","Home",NA,990,448,509,88,7722,2716,226,245,92.2,144,159,90.6,58,78,74.4,2,2.4,1.9,19,41,9,3,46
"Serie A","2023-08-19","Serie A (Matchweek 1)","Internazionale","3-5-2",2,2.7,"Lautaro Martínez · 8&rsquor; Lautaro Martínez · 76&rsquor;","1","0","Monza","3-5-2",0,0.8,"","1","0","https://fbref.com/en/matches/254420f7/Internazionale-Monza-August-19-2023-Serie-A","Monza","Away",NA,990,508,567,89.6,9415,2922,200,214,93.5,240,260,92.3,59,72,81.9,0,0.5,0.7,9,32,14,3,43
"Serie A","2023-08-20","Serie A (Matchweek 1)","Roma","3-1-4-2",2,1.9,"Andrea Belotti · 17&rsquor; Andrea Belotti · 82&rsquor;","0","0","Salernitana","3-4-3",2,0.1,"Antonio Candreva · 36&rsquor; Antonio Candreva · 49&rsquor;","4","0","https://fbref.com/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A","Roma","Home",NA,990,423,535,79.1,7745,2429,178,198,89.9,197,237,83.1,45,81,55.6,2,1.3,0.9,11,34,10,4,32
"Serie A","2023-08-20","Serie A (Matchweek 1)","Roma","3-1-4-2",2,1.9,"Andrea Belotti · 17&rsquor; Andrea Belotti · 82&rsquor;","0","0","Salernitana","3-4-3",2,0.1,"Antonio Candreva · 36&rsquor; Antonio Candreva · 49&rsquor;","4","0","https://fbref.com/en/matches/9191f715/Roma-Salernitana-August-20-2023-Serie-A","Salernitana","Away",NA,990,259,357,72.5,4199,1556,123,144,85.4,105,130,80.8,17,56,30.4,2,0.1,0.1,3,16,2,0,18
"Serie A","2023-08-20","Serie A (Matchweek 1)","Sassuolo","4-2-3-1",0,0.4,"","0","0","Atalanta","3-5-2",2,1.3,"Charles De Ketelaere · 83&rsquor; Nadir Zortea · 90+3&rsquor;","0","0","https://fbref.com/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A","Sassuolo","Home",NA,990,445,522,85.2,7478,2841,204,213,95.8,178,203,87.7,42,69,60.9,0,0.4,0.5,10,34,5,1,31
"Serie A","2023-08-20","Serie A (Matchweek 1)","Sassuolo","4-2-3-1",0,0.4,"","0","0","Atalanta","3-5-2",2,1.3,"Charles De Ketelaere · 83&rsquor; Nadir Zortea · 90+3&rsquor;","0","0","https://fbref.com/en/matches/32dc37db/Sassuolo-Atalanta-August-20-2023-Serie-A","Atalanta","Away",NA,990,446,536,83.2,8028,2504,190,209,90.9,198,220,90,49,82,59.8,2,0.9,1,9,34,11,2,52
"Serie A","2023-08-20","Serie A (Matchweek 1)","Lecce","4-3-3",2,1.4,"Pontus Almqvist · 85&rsquor; Federico Di Francesco · 87&rsquor;","3","0","Lazio","4-3-3",1,1.6,"Ciro Immobile · 26&rsquor;","2","0","https://fbref.com/en/matches/3e38d727/Lecce-Lazio-August-20-2023-Serie-A","Lecce","Home",NA,990,419,501,83.6,7307,2342,180,200,90,190,213,89.2,35,58,60.3,2,1.3,0.8,18,25,10,3,47
"Serie A","2023-08-20","Serie A (Matchweek 1)","Lecce","4-3-3",2,1.4,"Pontus Almqvist · 85&rsquor; Federico Di Francesco · 87&rsquor;","3","0","Lazio","4-3-3",1,1.6,"Ciro Immobile · 26&rsquor;","2","0","https://fbref.com/en/matches/3e38d727/Lecce-Lazio-August-20-2023-Serie-A","Lazio","Away",NA,990,455,541,84.1,6917,2691,247,271,91.1,167,192,87,27,51,52.9,1,1.6,1.2,10,26,8,0,45
"Serie A","2023-08-20","Serie A (Matchweek 1)","Udinese","3-5-2",0,1,"","1","0","Juventus","3-1-4-2",3,1.8,"Federico Chiesa · 2&rsquor; Dušan Vlahović (P) · 20&rsquor; Adrien Rabiot · 45+3&rsquor;","3","0","https://fbref.com/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A","Udinese","Home",NA,990,406,479,84.8,7283,2308,166,180,92.2,179,198,90.4,46,72,63.9,0,0.8,0.9,14,40,9,3,40
"Serie A","2023-08-20","Serie A (Matchweek 1)","Udinese","3-5-2",0,1,"","1","0","Juventus","3-1-4-2",3,1.8,"Federico Chiesa · 2&rsquor; Dušan Vlahović (P) · 20&rsquor; Adrien Rabiot · 45+3&rsquor;","3","0","https://fbref.com/en/matches/8b6e8a62/Udinese-Juventus-August-20-2023-Serie-A","Juventus","Away",NA,990,411,503,81.7,6766,2308,203,231,87.9,161,179,89.9,35,65,53.8,2,1,0.7,7,19,5,2,19
"Serie A","2023-08-21","Serie A (Matchweek 1)","Torino","3-4-3",0,1,"","1","0","Cagliari","3-4-3",0,0.4,"","1","0","https://fbref.com/en/matches/fdc03e7f/Torino-Cagliari-August-21-2023-Serie-A","Torino","Home",NA,990,381,496,76.8,7233,3097,158,188,84,164,187,87.7,50,95,52.6,0,0.7,0.7,7,29,6,1,39
"Serie A","2023-08-21","Serie A (Matchweek 1)","Torino","3-4-3",0,1,"","1","0","Cagliari","3-4-3",0,0.4,"","1","0","https://fbref.com/en/matches/fdc03e7f/Torino-Cagliari-August-21-2023-Serie-A","Cagliari","Away",NA,990,260,375,69.3,4857,2080,129,143,90.2,84,122,68.9,40,92,43.5,0,0.3,0.4,4,19,6,0,26
"Serie A","2023-08-21","Serie A (Matchweek 1)","Bologna","4-1-3-2",0,1,"","2","0","Milan","4-3-3",2,0.9,"Olivier Giroud · 11&rsquor; Christian Pulisic · 21&rsquor;","2","0","https://fbref.com/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A","Bologna","Home",NA,990,503,580,86.7,8855,2712,245,263,93.2,205,231,88.7,49,70,70,0,0.9,0.8,14,43,10,5,41
"Serie A","2023-08-21","Serie A (Matchweek 1)","Bologna","4-1-3-2",0,1,"","2","0","Milan","4-3-3",2,0.9,"Olivier Giroud · 11&rsquor; Christian Pulisic · 21&rsquor;","2","0","https://fbref.com/en/matches/93dccf6e/Bologna-Milan-August-21-2023-Serie-A","Milan","Away",NA,990,430,515,83.5,6699,2401,219,240,91.3,165,181,91.2,28,56,50,2,0.9,1.2,9,26,8,3,35
"Serie A","2023-08-26","Serie A (Matchweek 2)","Frosinone","4-2-3-1",2,0.7,"Abdou Harroui · 5&rsquor; Ilario Monterisi · 24&rsquor;","1","0","Atalanta","3-4-1-2",1,1.6,"Duván Zapata · 56&rsquor;","2","0","https://fbref.com/en/matches/0b355cdd/Frosinone-Atalanta-August-26-2023-Serie-A","Frosinone","Home",NA,990,293,404,72.5,4737,1966,153,178,86,113,133,85,23,73,31.5,2,0.7,0.3,10,20,7,2,28
"Serie A","2023-08-26","Serie A (Matchweek 2)","Frosinone","4-2-3-1",2,0.7,"Abdou Harroui · 5&rsquor; Ilario Monterisi · 24&rsquor;","1","0","Atalanta","3-4-1-2",1,1.6,"Duván Zapata · 56&rsquor;","2","0","https://fbref.com/en/matches/0b355cdd/Frosinone-Atalanta-August-26-2023-Serie-A","Atalanta","Away",NA,990,559,685,81.6,9231,2953,260,298,87.2,249,283,88,37,70,52.9,1,1.2,1,14,34,12,2,69
"Serie A","2023-08-26","Serie A (Matchweek 2)","Monza","3-4-3",2,2,"Andrea Colpani · 45&rsquor; Andrea Colpani · 53&rsquor;","1","0","Empoli","4-2-3-1",0,1,"","2","0","https://fbref.com/en/matches/3d880bc3/Monza-Empoli-August-26-2023-Serie-A","Monza","Home",NA,990,456,541,84.3,8907,2608,175,191,91.6,218,239,91.2,57,90,63.3,2,1.9,1.4,17,39,15,8,45
"Serie A","2023-08-26","Serie A (Matchweek 2)","Monza","3-4-3",2,2,"Andrea Colpani · 45&rsquor; Andrea Colpani · 53&rsquor;","1","0","Empoli","4-2-3-1",0,1,"","2","0","https://fbref.com/en/matches/3d880bc3/Monza-Empoli-August-26-2023-Serie-A","Empoli","Away",NA,990,371,459,80.8,6280,2222,166,190,87.4,155,168,92.3,33,67,49.3,0,0.6,0.5,12,25,7,3,40
"Serie A","2023-08-26","Serie A (Matchweek 2)","Hellas Verona","3-4-3",2,0.7,"Ondrej Duda · 4&rsquor; Cyril Ngonge · 45+3&rsquor; Isak Hien · 84&rsquor;","1","1","Roma","3-5-2",1,1.5,"Houssem Aouar · 56&rsquor;","3","0","https://fbref.com/en/matches/3c6a9d3d/Hellas-Verona-Roma-August-26-2023-Serie-A","Hellas Verona","Home",NA,983,147,226,65,3587,1943,49,72,68.1,60,80,75,35,65,53.8,1,0.2,0.1,4,16,2,0,17
"Serie A","2023-08-26","Serie A (Matchweek 2)","Hellas Verona","3-4-3",2,0.7,"Ondrej Duda · 4&rsquor; Cyril Ngonge · 45+3&rsquor; Isak Hien · 84&rsquor;","1","1","Roma","3-5-2",1,1.5,"Houssem Aouar · 56&rsquor;","3","0","https://fbref.com/en/matches/3c6a9d3d/Hellas-Verona-Roma-August-26-2023-Serie-A","Roma","Away",NA,990,456,556,82,7663,2682,215,239,90,200,229,87.3,31,61,50.8,0,0.8,1.1,17,28,10,1,40
"Serie A","2023-08-26","Serie A (Matchweek 2)","Milan","4-3-3",4,3,"Christian Pulisic · 33&rsquor; Olivier Giroud (P) · 43&rsquor; Theo Hernández · 45+2&rsquor; Olivier Giroud (P) · 65&rsquor;","2","0","Torino","3-4-3",1,0.5,"Perr Schuurs · 36&rsquor;","3","0","https://fbref.com/en/matches/4cc2731e/Milan-Torino-August-26-2023-Serie-A","Milan","Home",NA,990,452,529,85.4,7703,2751,204,226,90.3,200,221,90.5,39,61,63.9,2,1.4,1.2,12,24,8,2,36
"Serie A","2023-08-26","Serie A (Matchweek 2)","Milan","4-3-3",4,3,"Christian Pulisic · 33&rsquor; Olivier Giroud (P) · 43&rsquor; Theo Hernández · 45+2&rsquor; Olivier Giroud (P) · 65&rsquor;","2","0","Torino","3-4-3",1,0.5,"Perr Schuurs · 36&rsquor;","3","0","https://fbref.com/en/matches/4cc2731e/Milan-Torino-August-26-2023-Serie-A","Torino","Away",NA,990,291,366,79.5,5369,2060,125,141,88.7,124,144,86.1,33,62,53.2,1,0.4,0.5,4,25,4,2,28
"Serie A","2023-08-27","Serie A (Matchweek 2)","Fiorentina","4-2-3-1",2,1.3,"Nicolás González · 3&rsquor; Alfred Duncan · 25&rsquor;","1","0","Lecce","4-3-3",2,0.3,"Hamza Rafia · 49&rsquor; Nikola Krstović · 76&rsquor;","3","0","https://fbref.com/en/matches/d179c57a/Fiorentina-Lecce-August-27-2023-Serie-A","Fiorentina","Home",NA,990,393,493,79.7,8030,2763,128,150,85.3,204,228,89.5,61,88,69.3,2,1.3,1.3,9,28,11,4,47
"Serie A","2023-08-27","Serie A (Matchweek 2)","Fiorentina","4-2-3-1",2,1.3,"Nicolás González · 3&rsquor; Alfred Duncan · 25&rsquor;","1","0","Lecce","4-3-3",2,0.3,"Hamza Rafia · 49&rsquor; Nikola Krstović · 76&rsquor;","3","0","https://fbref.com/en/matches/d179c57a/Fiorentina-Lecce-August-27-2023-Serie-A","Lecce","Away",NA,990,241,339,71.1,4244,1793,116,142,81.7,96,123,78,23,49,46.9,2,0.2,0.3,5,14,5,2,28
"Serie A","2023-08-27","Serie A (Matchweek 2)","Juventus","3-1-4-2",1,0.8,"Dušan Vlahović · 80&rsquor;","2","0","Bologna","4-2-3-1",1,0.5,"Lewis Ferguson · 24&rsquor;","1","0","https://fbref.com/en/matches/6992283e/Juventus-Bologna-August-27-2023-Serie-A","Juventus","Home",NA,990,495,593,83.5,8459,2537,217,242,89.7,229,254,90.2,42,68,61.8,1,0.4,1.4,10,48,16,7,57
"Serie A","2023-08-27","Serie A (Matchweek 2)","Juventus","3-1-4-2",1,0.8,"Dušan Vlahović · 80&rsquor;","2","0","Bologna","4-2-3-1",1,0.5,"Lewis Ferguson · 24&rsquor;","1","0","https://fbref.com/en/matches/6992283e/Juventus-Bologna-August-27-2023-Serie-A","Bologna","Away",NA,990,343,430,79.8,5750,2075,154,174,88.5,133,153,86.9,34,68,50,1,0.4,0.4,7,19,6,0,29
"Serie A","2023-08-27","Serie A (Matchweek 2)","Napoli","4-3-3",2,3.5,"Victor Osimhen (P) · 16&rsquor; Giovanni Di Lorenzo · 64&rsquor;","0","0","Sassuolo","4-3-3",0,0.2,"Maxime Lopez · 51&rsquor;","1","1","https://fbref.com/en/matches/4401df22/Napoli-Sassuolo-August-27-2023-Serie-A","Napoli","Home",NA,990,624,703,88.8,9726,3438,360,384,93.8,209,230,90.9,46,63,73,1,1.9,1.6,22,30,19,4,55
"Serie A","2023-08-27","Serie A (Matchweek 2)","Napoli","4-3-3",2,3.5,"Victor Osimhen (P) · 16&rsquor; Giovanni Di Lorenzo · 64&rsquor;","0","0","Sassuolo","4-3-3",0,0.2,"Maxime Lopez · 51&rsquor;","1","1","https://fbref.com/en/matches/4401df22/Napoli-Sassuolo-August-27-2023-Serie-A","Sassuolo","Away",NA,950,278,348,79.9,4452,1697,144,162,88.9,103,120,85.8,19,43,44.2,0,0.1,0.2,5,23,1,0,28
"Serie A","2023-08-27","Serie A (Matchweek 2)","Lazio","4-3-3",0,1.4,"","4","0","Genoa","4-3-2-1",1,0.6,"Mateo Retegui · 16&rsquor;","2","0","https://fbref.com/en/matches/e7878318/Lazio-Genoa-August-27-2023-Serie-A","Lazio","Home",NA,990,669,808,82.8,11038,3214,318,359,88.6,290,322,90.1,50,89,56.2,0,0.4,1,9,82,14,5,91
"Serie A","2023-08-27","Serie A (Matchweek 2)","Lazio","4-3-3",0,1.4,"","4","0","Genoa","4-3-2-1",1,0.6,"Mateo Retegui · 16&rsquor;","2","0","https://fbref.com/en/matches/e7878318/Lazio-Genoa-August-27-2023-Serie-A","Genoa","Away",NA,990,247,341,72.4,4867,2042,103,126,81.7,102,121,84.3,34,73,46.6,0,0.2,0.3,3,19,4,2,19
"Serie A","2023-08-28","Serie A (Matchweek 2)","Salernitana","3-4-3",1,0.5,"Boulaye Dia · 72&rsquor;","4","0","Udinese","3-5-2",1,0.8,"Lazar Samardzic · 57&rsquor;","4","0","https://fbref.com/en/matches/767c80b3/Salernitana-Udinese-August-28-2023-Serie-A","Salernitana","Home",NA,990,352,462,76.2,6298,2461,167,194,86.1,145,173,83.8,37,78,47.4,1,0.5,0.6,7,27,11,3,45
"Serie A","2023-08-28","Serie A (Matchweek 2)","Salernitana","3-4-3",1,0.5,"Boulaye Dia · 72&rsquor;","4","0","Udinese","3-5-2",1,0.8,"Lazar Samardzic · 57&rsquor;","4","0","https://fbref.com/en/matches/767c80b3/Salernitana-Udinese-August-28-2023-Serie-A","Udinese","Away",NA,990,272,366,74.3,5432,2355,106,129,82.2,120,151,79.5,40,72,55.6,1,0.6,0.6,11,32,6,5,34
"Serie A","2023-08-28","Serie A (Matchweek 2)","Cagliari","4-2-3-1",0,0.6,"","0","0","Internazionale","3-5-2",2,0.9,"Denzel Dumfries · 21&rsquor; Lautaro Martínez · 30&rsquor;","1","0","https://fbref.com/en/matches/631e94b3/Cagliari-Internazionale-August-28-2023-Serie-A","Cagliari","Home",NA,990,272,367,74.1,5113,2000,130,151,86.1,102,125,81.6,39,74,52.7,0,0.4,0.4,9,29,7,3,37
"Serie A","2023-08-28","Serie A (Matchweek 2)","Cagliari","4-2-3-1",0,0.6,"","0","0","Internazionale","3-5-2",2,0.9,"Denzel Dumfries · 21&rsquor; Lautaro Martínez · 30&rsquor;","1","0","https://fbref.com/en/matches/631e94b3/Cagliari-Internazionale-August-28-2023-Serie-A","Internazionale","Away",NA,990,616,730,84.4,10857,3487,257,277,92.8,277,311,89.1,55,98,56.1,2,0.6,1.3,10,49,18,5,64
"Serie A","2023-09-01","Serie A (Matchweek 3)","Sassuolo","4-3-3",3,1.7,"Andrea Pinamonti · 11&rsquor; Domenico Berardi · 63&rsquor; Domenico Berardi (P) · 73&rsquor;","1","0","Hellas Verona","3-4-1-2",1,0.6,"Cyril Ngonge · 56&rsquor;","3","0","https://fbref.com/en/matches/ebe46174/Sassuolo-Hellas-Verona-September-1-2023-Serie-A","Sassuolo","Home",NA,990,313,428,73.1,5687,2432,136,155,87.7,126,162,77.8,38,84,45.2,2,0.7,1.2,12,25,6,0,35
"Serie A","2023-09-01","Serie A (Matchweek 3)","Sassuolo","4-3-3",3,1.7,"Andrea Pinamonti · 11&rsquor; Domenico Berardi · 63&rsquor; Domenico Berardi (P) · 73&rsquor;","1","0","Hellas Verona","3-4-1-2",1,0.6,"Cyril Ngonge · 56&rsquor;","3","0","https://fbref.com/en/matches/ebe46174/Sassuolo-Hellas-Verona-September-1-2023-Serie-A","Hellas Verona","Away",NA,990,375,476,78.8,7618,2501,119,135,88.1,195,217,89.9,55,98,56.1,1,0.5,0.5,10,26,3,2,31
"Serie A","2023-09-01","Serie A (Matchweek 3)","Roma","3-5-2",1,0.7,"Leonardo Spinazzola · 90+2&rsquor;","2","0","Milan","4-2-3-1",2,1.5,"Olivier Giroud (P) · 9&rsquor; Rafael Leão · 48&rsquor; Fikayo Tomori · 61&rsquor;","5","1","https://fbref.com/en/matches/03e9b7f3/Roma-Milan-September-1-2023-Serie-A","Roma","Home",NA,990,355,440,80.7,6699,2574,150,166,90.4,154,179,86,46,69,66.7,1,0.6,0.3,9,35,5,1,40
"Serie A","2023-09-01","Serie A (Matchweek 3)","Roma","3-5-2",1,0.7,"Leonardo Spinazzola · 90+2&rsquor;","2","0","Milan","4-2-3-1",2,1.5,"Olivier Giroud (P) · 9&rsquor; Rafael Leão · 48&rsquor; Fikayo Tomori · 61&rsquor;","5","1","https://fbref.com/en/matches/03e9b7f3/Roma-Milan-September-1-2023-Serie-A","Milan","Away",NA,960,494,569,86.8,9131,2931,188,202,93.1,258,275,93.8,47,82,57.3,1,0.7,0.8,7,17,5,2,30
"Serie A","2023-09-02","Serie A (Matchweek 3)","Udinese","3-5-2",0,1.5,"","2","0","Frosinone","4-2-3-1",0,1.8,"","2","0","https://fbref.com/en/matches/6a639449/Udinese-Frosinone-September-2-2023-Serie-A","Udinese","Home",NA,990,295,389,75.8,5494,2379,129,154,83.8,120,145,82.8,37,69,53.6,0,1.3,1.3,9,28,7,5,28
"Serie A","2023-09-02","Serie A (Matchweek 3)","Udinese","3-5-2",0,1.5,"","2","0","Frosinone","4-2-3-1",0,1.8,"","2","0","https://fbref.com/en/matches/6a639449/Udinese-Frosinone-September-2-2023-Serie-A","Frosinone","Away",NA,990,339,440,77,5569,2205,157,175,89.7,121,149,81.2,35,78,44.9,0,1.1,0.6,7,25,8,1,36
"Serie A","2023-09-02","Serie A (Matchweek 3)","Bologna","4-2-3-1",2,2.3,"Joshua Zirkzee · 59&rsquor; Giovanni Fabbian · 89&rsquor;","1","0","Cagliari","4-1-3-2",1,0.5,"Zito Luvumbo · 22&rsquor;","2","0","https://fbref.com/en/matches/1b8aeae3/Bologna-Cagliari-September-2-2023-Serie-A","Bologna","Home",NA,990,677,771,87.8,10950,3272,359,389,92.3,258,277,93.1,44,69,63.8,1,0.8,0.7,11,58,10,3,59
"Serie A","2023-09-02","Serie A (Matchweek 3)","Bologna","4-2-3-1",2,2.3,"Joshua Zirkzee · 59&rsquor; Giovanni Fabbian · 89&rsquor;","1","0","Cagliari","4-1-3-2",1,0.5,"Zito Luvumbo · 22&rsquor;","2","0","https://fbref.com/en/matches/1b8aeae3/Bologna-Cagliari-September-2-2023-Serie-A","Cagliari","Away",NA,990,230,315,73,4468,1888,87,100,87,101,131,77.1,31,57,54.4,1,0.4,0.2,5,20,3,2,28
"Serie A","2023-09-02","Serie A (Matchweek 3)","Napoli","4-3-3",1,1.3,"Piotr Zieliński · 32&rsquor;","0","0","Lazio","4-3-3",2,0.6,"Luis Alberto · 30&rsquor; Daichi Kamada · 52&rsquor;","2","0","https://fbref.com/en/matches/2c2145a0/Napoli-Lazio-September-2-2023-Serie-A","Napoli","Home",NA,990,550,651,84.5,9382,2851,244,265,92.1,244,279,87.5,45,73,61.6,0,1,1,15,43,7,2,33
"Serie A","2023-09-02","Serie A (Matchweek 3)","Napoli","4-3-3",1,1.3,"Piotr Zieliński · 32&rsquor;","0","0","Lazio","4-3-3",2,0.6,"Luis Alberto · 30&rsquor; Daichi Kamada · 52&rsquor;","2","0","https://fbref.com/en/matches/2c2145a0/Napoli-Lazio-September-2-2023-Serie-A","Lazio","Away",NA,990,325,407,79.9,5208,2046,163,186,87.6,124,140,88.6,24,53,45.3,2,0.6,0.6,6,15,4,0,23
"Serie A","2023-09-02","Serie A (Matchweek 3)","Atalanta","3-4-1-2",3,1.3,"Éderson · 35&rsquor; Gianluca Scamacca · 42&rsquor; Gianluca Scamacca · 62&rsquor;","0","0","Monza","3-4-3",0,0.4,"","3","0","https://fbref.com/en/matches/6e72c38b/Atalanta-Monza-September-2-2023-Serie-A","Atalanta","Home",NA,990,390,473,82.5,6858,2858,181,208,87,152,169,89.9,46,68,67.6,3,1.3,1.3,18,25,13,6,43
"Serie A","2023-09-02","Serie A (Matchweek 3)","Atalanta","3-4-1-2",3,1.3,"Éderson · 35&rsquor; Gianluca Scamacca · 42&rsquor; Gianluca Scamacca · 62&rsquor;","0","0","Monza","3-4-3",0,0.4,"","3","0","https://fbref.com/en/matches/6e72c38b/Atalanta-Monza-September-2-2023-Serie-A","Monza","Away",NA,990,567,667,85,9498,2725,277,296,93.6,233,257,90.7,47,85,55.3,0,0.3,0.5,6,37,5,2,26
"Serie A","2023-09-03","Serie A (Matchweek 3)","Torino","3-4-3",1,0.4,"Nemanja Radonjić · 90+4&rsquor;","2","0","Genoa","4-3-2-1",0,0.2,"","5","0","https://fbref.com/en/matches/83d4ffcd/Torino-Genoa-September-3-2023-Serie-A","Torino","Home",NA,990,450,553,81.4,7299,2206,238,258,92.2,179,212,84.4,25,53,47.2,1,0.3,0.5,5,25,7,1,47
"Serie A","2023-09-03","Serie A (Matchweek 3)","Torino","3-4-3",1,0.4,"Nemanja Radonjić · 90+4&rsquor;","2","0","Genoa","4-3-2-1",0,0.2,"","5","0","https://fbref.com/en/matches/83d4ffcd/Torino-Genoa-September-3-2023-Serie-A","Genoa","Away",NA,990,225,325,69.2,4738,2123,84,111,75.7,102,121,84.3,38,80,47.5,0,0.1,0.1,5,17,0,0,19
"Serie A","2023-09-03","Serie A (Matchweek 3)","Internazionale","3-5-2",4,3.7,"Marcus Thuram · 23&rsquor; Lautaro Martínez · 53&rsquor; Hakan Çalhanoğlu (P) · 58&rsquor; Lautaro Martínez · 73&rsquor;","1","0","Fiorentina","4-2-3-1",0,0.4,"","1","0","https://fbref.com/en/matches/c59bb445/Internazionale-Fiorentina-September-3-2023-Serie-A","Internazionale","Home",NA,990,303,371,81.7,5579,2089,130,148,87.8,130,149,87.2,33,53,62.3,3,2.5,2.2,15,19,11,4,36
"Serie A","2023-09-03","Serie A (Matchweek 3)","Internazionale","3-5-2",4,3.7,"Marcus Thuram · 23&rsquor; Lautaro Martínez · 53&rsquor; Hakan Çalhanoğlu (P) · 58&rsquor; Lautaro Martínez · 73&rsquor;","1","0","Fiorentina","4-2-3-1",0,0.4,"","1","0","https://fbref.com/en/matches/c59bb445/Internazionale-Fiorentina-September-3-2023-Serie-A","Fiorentina","Away",NA,990,481,568,84.7,9655,2865,171,193,88.6,210,237,88.6,79,100,79,0,0.3,0.7,4,28,5,2,32
"Serie A","2023-09-03","Serie A (Matchweek 3)","Lecce","4-3-3",2,1.7,"Nikola Krstović · 6&rsquor; Gabriel Strefezza (P) · 90+8&rsquor;","3","0","Salernitana","3-4-3",0,1.1,"","3","0","https://fbref.com/en/matches/79dc2417/Lecce-Salernitana-September-3-2023-Serie-A","Lecce","Home",NA,990,286,383,74.7,4888,2086,138,161,85.7,111,136,81.6,25,61,41,1,0.9,0.5,15,21,7,4,35
